company;name;avg_review;num_review;price;food_advice;country;region;wine_type;year;light_struct;dry_sweet;flat_acidic;notes
Giacomelli;Pianacce Vermentino Colli di Luni;3.8;79;12.95;Pasta / Seafood / Hard and aged cheese;Italy;Colli di Luni;Vermentino;2018.0;58.0;19.0;54.0;fruit tree/herbaceous/citrus
Baglio del Cristo di Campobello;Lalúci Grillo;4.0;31;14.49;Seafood / Vegetarian / Appetizers and snacks;Italy;Sicilia;Grillo;2021.0;55.0;8.0;46.0;citrus/fruit tree/herbaceous
Zenato;Soave Classico Colombara;3.7;113;6.83;Seafood / Vegetarian / Appetizers and snacks;Italy;Soave;Miscela;2019.0;30.0;6.0;56.0;fruit tree/citrus/herbaceous
Le Vigne di Zamò;Vigne Cinquant'Anni Friulano;4.1;67;27.0;Pasta / Seafood / Hard and aged cheese;Italy;Colli Orientali del Friuli;Friulano;2016.0;67.0;16.0;49.0;wood/fruit tree/herbaceous
Carussin;Tra l'Altro Bianco;4.0;118;17.38;Pasta / Seafood / Hard and aged cheese;Italy;Piemonte;Miscela;2018.0;55.0;30.0;56.0;fruit tree/citrus/tropical note
Santi;Sortesele Pinot Grigio Valdadige;3.9;183;8.4;Seafood / Vegetarian / Mushrooms;Italy;Valdadige;Pinot Grigio;2020.0;40.0;10.0;45.0;fruit tree/herbaceous/citrus
Tenuta San Francesco;Tramonti Costa d'Amalfi Bianco;3.9;223;13.0;Seafood / Vegetarian / Appetizers and snacks;Italy;Costa d'Amalfi;Falanghina;2020.0;57.0;1.0;37.0;fruit tree/citrus/herbaceous
Emidio Pepe;Pecorino Colli Aprutini;4.3;67;98.0;Pasta / Vegetarian / Appetizers and snacks;Italy;Colli Aprutini;Pecorino;2017.0;49.0;28.0;65.0;herbaceous/fruit tree/citrus
Lis Neris;Venezia Giulia Pinot Grigio;4.1;50;16.1;Seafood / Vegetarian / Mushrooms;Italy;Venezia Giulia;Pinot Grigio;2020.0;47.0;13.0;41.0;citrus/fruit tree/herbaceous
Le Marne;Marne Bianco;3.8;72;11.88;Pasta / Seafood / Appetizers and snacks;Italy;Gavi;Cortese;2018.0;24.0;8.0;80.0;fruit tree/herbaceous/citrus
Foffani - Casa Antica Mosaici;Merlot Bianco;4.0;30;7.4;Pasta / Seafood / Hard and aged cheese;Italy;Friuli Aquileia;Merlot;2019.0;55.0;22.0;48.0;herbaceous/citrus/fruit tree
Pieropan;Calvarino Soave Classico;3.9;836;17.5;Seafood / Vegetarian / Appetizers and snacks;Italy;Soave Classico;Garganega;2019.0;31.0;4.0;58.0;fruit tree/citrus/herbaceous
